year,creep in (mm),creep2 in (mm),?
1985,102.0,4.76,0.1
1985,107.590278,5.28,0.1
1985,110.5,5.39,0.1
1985,114.013889,5.73,0.1
1985,116.416667,5.82,0.1
1985,118.194444,6.03,0.1
1985,121.125,6.31,0.1
1985,122.951389,6.46,0.1
1985,124.75,6.54,0.1
1985,126.527778,6.64,0.1
1985,128.326389,6.76,0.1
1985,134.333333,7.26,0.1
1985,136.118056,7.44,0.1
1985,138.381944,7.54,0.1
1985,141.104167,7.76,0.1
1985,142.965278,7.88,0.1
1985,144.743056,7.93,0.1
1985,146.520833,7.97,0.1
1985,148.298611,8.07,0.1
1985,150.076389,8.17,0.1
1985,151.854167,8.24,0.1
1985,153.631944,8.28,0.1
1985,155.458333,8.35,0.1
1985,160.569444,8.59,0.1
1985,162.416667,8.69,0.1
1985,164.194444,8.82,0.1
1985,165.972222,8.96,0.1
1985,167.756944,9.01,0.1
1985,170.201389,9.12,0.1
1985,173.138889,9.05,0.1
1985,177.583333,9.1,0.1
1985,192.819444,10.03,0.1
1985,194.611111,10.07,0.1
1985,196.388889,10.15,0.1
1985,198.465278,10.25,0.1
1985,200.319444,10.35,0.1
1985,202.097222,10.46,0.1
1985,203.875,10.53,0.1
1985,205.680556,10.59,0.1
1985,207.472222,10.63,0.1
1985,209.25,10.71,0.1
1985,211.027778,10.79,0.1
1985,212.819444,10.84,0.1
1985,214.597222,10.88,0.1
1985,216.375,10.96,0.1
1985,218.152778,11.06,0.1
1985,219.951389,11.16,0.1
1985,221.729167,11.26,0.1
1985,223.506944,11.32,0.1
1985,225.284722,11.43,0.1
1985,227.069444,11.57,0.1
1985,228.847222,11.65,0.1
1985,230.625,11.71,0.1
1985,232.930556,11.85,0.1
1985,234.729167,11.93,0.1
1985,237.673611,12.07,0.1
1985,240.041667,12.18,0.1
1985,241.819444,12.24,0.1
1985,243.597222,12.28,0.1
1985,245.375,12.37,0.1
1985,247.194444,12.44,0.1
1985,250.826389,12.65,0.1
1985,252.625,12.73,0.1
1985,254.430556,12.83,0.1
1985,256.208333,12.95,0.1
1985,257.986111,13.05,0.1
1985,259.763889,13.12,0.1
1985,261.541667,13.17,0.1
1985,263.319444,13.25,0.1
1985,265.097222,13.35,0.1
1985,267.194444,13.4,0.1
1985,313.298611,15.15,0.1
1985,315.083333,15.24,0.1
1985,316.861111,15.35,0.1
1985,318.645833,15.43,0.1
1985,320.423611,15.57,0.1
1985,322.201389,15.68,0.1
1985,323.979167,15.8,0.1
1985,325.798611,15.88,0.1
1985,327.576389,15.97,0.1
1985,329.368056,16.04,0.1
1985,331.201389,16.07,0.1
1985,332.979167,16.14,0.1
1985,334.756944,16.47,0.1
1985,336.534722,16.58,0.1
1985,338.368056,16.91,0.1
1985,340.145833,17.06,0.1
1985,341.930556,17.16,0.1
1985,343.951389,17.25,0.1
1985,345.729167,17.32,0.1
1985,347.506944,17.38,0.1
1985,349.284722,17.51,0.1
1985,351.0625,17.64,0.1
1985,352.840278,17.76,0.1
1985,354.618056,17.88,0.1
1985,356.395833,18.03,0.1
1985,358.222222,18.16,0.1
1985,360.0,18.32,0.1
1985,361.777778,18.42,0.1
1985,363.555556,18.54,0.1
1985,365.388889,18.64,0.1
1986,2.166667,18.74,0.1
1986,4.0,18.85,0.1
1986,5.777778,19.21,0.1
1986,7.583333,19.37,0.1
1986,9.361111,19.49,0.1
1986,11.138889,19.62,0.1
1986,12.916667,19.76,0.1
1986,14.694444,19.88,0.1
1986,16.472222,19.99,0.1
1986,18.25,20.12,0.1
1986,20.027778,20.22,0.1
1986,21.805556,20.33,0.1
1986,23.583333,20.46,0.1
1986,25.381944,20.56,0.1
1986,27.173611,20.7,0.1
1986,28.951389,20.83,0.1
1986,30.729167,20.94,0.1
1986,32.506944,21.01,0.1
1986,34.284722,21.12,0.1
1986,36.069444,21.22,0.1
1986,37.847222,21.31,0.1
1986,39.625,21.35,0.1
1986,41.402778,21.43,0.1
1986,43.215278,21.51,0.1
1986,45.0,21.65,0.1
1986,46.777778,21.54,0.1
1986,48.597222,21.56,0.1
1986,57.583333,22.1,0.1
1986,96.479167,24.38,0.1
1986,98.416667,24.51,0.1
1986,100.270833,24.61,0.1
1986,102.201389,24.76,0.1
1986,104.0625,24.9,0.1
1986,106.0,25.08,0.1
1986,108.340278,25.26,0.1
1986,110.145833,25.46,0.1
1986,111.923611,25.62,0.1
1986,113.791667,25.82,0.1
1986,115.590278,25.97,0.1
1986,117.368056,26.16,0.1
1986,119.145833,26.35,0.1
1986,120.993056,26.51,0.1
1986,122.805556,26.67,0.1
1986,124.590278,26.76,0.1
1986,127.069444,27.06,0.1
1986,128.888889,27.29,0.1
1986,130.743056,27.44,0.1
1986,132.534722,27.6,0.1
1986,134.3125,27.82,0.1
1986,136.111111,28.05,0.1
1986,137.895833,28.27,0.1
1986,139.673611,28.38,0.1
1986,141.520833,28.52,0.1
1986,143.680556,28.69,0.1
1986,145.513889,28.84,0.1
1986,147.291667,29.01,0.1
1986,149.069444,29.18,0.1
1986,150.888889,29.32,0.1
1986,152.673611,29.39,0.1
1986,154.451389,29.5,0.1
1986,156.229167,29.6,0.1
1986,158.041667,29.72,0.1
1986,159.819444,29.8,0.1
1986,161.597222,29.87,0.1
1986,163.375,29.96,0.1
1986,165.152778,30.07,0.1
1986,166.930556,30.16,0.1
1986,168.798611,30.24,0.1
1986,170.576389,30.3,0.1
1986,172.381944,30.42,0.1
1986,174.159722,30.57,0.1
1986,175.9375,30.68,0.1
1986,177.715278,30.76,0.1
1986,179.555556,30.86,0.1
1986,181.333333,31.0,0.1
1986,183.111111,31.13,0.1
1986,184.888889,31.24,0.1
1986,186.666667,31.28,0.1
1986,189.409722,31.45,0.1
1986,191.1875,31.55,0.1
1986,192.979167,31.64,0.1
1986,194.756944,31.71,0.1
1986,196.631944,31.79,0.1
1986,198.409722,31.88,0.1
1986,200.333333,31.98,0.1
1986,202.111111,32.09,0.1
1986,203.888889,32.15,0.1
1986,205.847222,32.28,0.1
1986,207.645833,32.38,0.1
1986,209.423611,32.49,0.1
1986,211.201389,32.63,0.1
1986,213.069444,32.74,0.1
1986,224.979167,33.39,0.1
1986,226.770833,33.47,0.1
1986,228.590278,33.55,0.1
1986,230.381944,33.63,0.1
1986,232.159722,33.74,0.1
1986,233.951389,33.83,0.1
1986,235.833333,33.93,0.1
1986,238.020833,34.04,0.1
1986,240.180556,34.18,0.1
1986,242.166667,34.32,0.1
1986,244.027778,34.43,0.1
1986,245.861111,34.59,0.1
1986,247.729167,34.74,0.1
1986,249.909722,34.96,0.1
1986,251.756944,35.1,0.1
1986,253.569444,35.26,0.1
1986,255.395833,35.45,0.1
1986,257.1875,35.62,0.1
