Sample,n,δ56/54Fe,2 sd (56),δ57/54Fe,2 sd (57)
"Chd 2, s1",1,-0.21,,-0.37,
"Chd 3, s1",1,-0.08,,-0.12,
"Chd 4, s1",1,-0.03,,-0.04,
"Chd 5, s1",1,-0.19,,-0.33,
"Chd 6, s1",1,0.00,,0.01,
"Chd 7, s1",1,-0.19,,-0.34,
"Chd 8, s1",1,0.24,,0.32,
"Chd 9, s1",1,0.07,,0.07,
"Chd 10, s1",1,0.10,,0.11,
"Chd 11, s1",1,-0.03,,-0.15,
"Chd 12, s1",1,-0.07,,-0.15,
"Chd 13, s1",1,0.20,,0.31,
"Chd 14, s1",1,0.12,,0.19,
"Chd 1, s2",5,-0.02,0.06,-0.02,0.06
"Chd 2, s2",3,-0.11,0.06,-0.13,0.12
"Chd 3, s2",4,0.00,0.08,0.01,0.09
"Chd 4, s2",3,0.22,0.05,0.35,0.09
"Chd 5, s2",3,-0.08,0.03,-0.08,0.06
"Chd 6, s2",3,-0.62,0.07,-0.87,0.13
"Chd 7, s2",2,0.09,0.05,0.14,0.06
"Chd 8, s2",1,-0.41,,-0.62,
"Chd 9, s2",3,0.11,0.02,0.17,0.06
"Chd 10, s2",1,-0.11,,-0.19,
"Chd 11, s2",1,0.13,,0.18,
"Chd 12, s2",1,-0.18,,-0.27,
"Chd 13, s2",3,0.02,0.06,0.05,0.14
"Chd 14, s2",3,-0.22,0.03,-0.29,0.04
"Chd 16, s2",1,-0.19,,-0.31,
"Chd 17, s2",1,0.14,,0.26,
"Chd 18, s2",2,0.15,0.02,0.22,0.05
"Chd 19, s2",1,-0.18,,-0.30,
"Chd 21, s2",1,0.00,,-0.01,
"Chd 22, s2",1,0.10,,0.17,
"Chd 23, s2",3,0.05,0.03,0.08,0.01
"Chd 24, s2",1,-0.19,,-0.34,
"Chd 25, s2",1,-0.19,,-0.32,
"Allende Bulk 1, s2",5,0.00,0.02,-0.04,0.03
"Allende Bulk 2, s2",5,0.01,0.09,0.06,0.06
"Murchison Bulk 1, s2",5,-0.02,0.08,-0.01,0.07
"Murchison Bulk 2, s2",5,0.00,0.03,-0.01,0.09
"Jbilet Winselwan Bulk 1, s2",4,-0.02,0.07,-0.03,0.05
"Jbilet Winselwan Bulk 2, s2",5,0.02,0.04,-0.01,0.03
