z,n,symbol,radius,abundance,half life (s),binding energy / A (keV),atomic mass (u),ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
0,1,Nn,-0.1149, ,613.9,0,1008664.9159,31-Oct-2005,BALRAJ SINGH,2022-04-26
0,4,N, , ,1.7547604425822527e-22, , ,30-Aug-2017,J.E. Purcell and  C.G. Sheu,2022-04-26
0,6,N, , , , , ,15-March-2017,J.H. Kelley and  G.C. Sheu,2022-04-26
1,0,H,0.8783,99.9855, ,0,1007825.031898,31-Oct-2005,BALRAJ SINGH,2022-04-26
1,1,H,2.1421,0.0145, ,1112.2831,2014101.777844,1-May-2003,J.H. KELLEY and  J.L. GODWIN,2022-04-26
1,2,H,1.7591, ,388781328.00697345,2827.2654,3016049.28132,30-Jun-2015,J.E. Purcell{+#} and  C.G. Sheu{+*},2022-04-26
1,3,H, , , ,1720.4491,4026431.867,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2022-04-26
1,4,H, , ,8.608258774931805e-23,1336.3592,5035311.492,28-Feb-2019,J.E. Purcell and  C.G. Sheu,2022-04-26
1,5,H, , ,2.943469129492811e-22,961.6395,6044955.437,23-March-2017,J.E. Purcell and  C.G. Sheu,2022-04-26
1,6,H, , ,5.069307945237619e-21,940,7052749,23-March-2017,J.E. Purcell and  C.G. Sheu,2022-04-26
2,1,He,1.9661,0.0002, ,2572.68044,3016029.32197,30-Jun-2015,J.E. Purcell{+#} and  C.G. Sheu{+*},2022-04-26
2,2,He,1.6755,99.9998, ,7073.9156,4002603.25413,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2022-04-26
2,3,He, , ,7.040705479496693e-22,5512.1325,5012057.224,23-AUG-2001,X. HU and  D.R.TILLEY and  J.H.KELLEY,2022-04-26
2,4,He,2.0660, ,0.8067,4878.5199,6018885.889,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2022-04-26
2,5,He, , ,3.0415847671425716e-21,4123.0578,7027990.652,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2022-04-26
2,6,He,1.9239, ,0.1191,3924.521,8033934.388,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2022-04-26
2,7,He, , , ,3349.038,9043946.414,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2022-04-26
2,8,He, , ,1.5207923835712858e-21,2995.134,10052815.306,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2022-04-26
3,1,Li, , , ,1153.7603,4027185.561,8-OCT-1991,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,2022-04-26
3,2,Li, , ,3.709249716027526e-22,5266.1325,5012537.8,23-AUG-2001,X. HU and  D.R.TILLEY and  J.H.KELLEY,2022-04-26
3,3,Li,2.5890,4.85, ,5332.3312,6015122.88742,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2022-04-26
3,4,Li,2.4440,95.15, ,5606.4401,7016003.43426,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2022-04-26
3,5,Li,2.3390, ,0.8399,5159.7124,8022486.244,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2022-04-26
3,6,Li,2.2450, ,0.1783,5037.7685,9026790.191,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2022-04-26
3,7,Li, , , ,4531.3512,10035483.453,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2022-04-26
3,8,Li,2.4820, ,0.00875,4155.3817,11043723.581,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2022-04-26
3,9,Li, , , ,3791.5999,12052613.942,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2022-04-26
4,2,Be, , ,4.959105598602019e-21,4487.2478,6019726.409,23-Aug-2001,HU and  TILLEY and  KELLEY et al.,2022-04-26
4,3,Be,2.6460, ,4598208,5371.5487,7016928.714,23-Aug-2001,HU and  TILLEY and  KELLEY and  GODWIN et al.,2022-04-26
4,4,Be, , ,8.190982317260066e-17,7062.4356,8005305.102,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2022-04-26
4,5,Be,2.5190,100, ,6462.6693,9012183.062,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2022-04-26
4,6,Be,2.3550, ,47650958221633.92,6497.6306,10013534.692,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2022-04-26
4,7,Be,2.4630, ,13.76,5952.5402,11021661.08,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2022-04-26
4,8,Be, , ,0.02146,5720.7223,12026922.082,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2022-04-26
4,9,Be, , ,2.7e-21,5241.4359,13036134.506, ,J. Blachot,2022-04-26
4,10,Be, , ,0.00435,4993.8973,14042892.92,1-JUL-1990,F. AJZENBERG-SELOVE,2022-04-26
4,11,Be, , ,7.866167501230788e-22,4540.9708,15053490.215,31-MARCH-2015,J. Kelley,2022-04-26
4,12,Be, , ,5.702971438392321e-22,4285.2851,16061672.036,29-SEPT-2014,J. Kelley,2022-04-26
5,2,B, , ,5.695851623862494e-22,3558.7055,7029712,01-June-2014,J. Kelley and  C.G. Sheu,2022-04-26
5,3,B, , ,0.77,4717.1551,8024607.315,31-Mar-2004,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,2022-04-26
5,4,B, , ,8.448846575396032e-19,6257.0713,9013329.645,31-Mar-2004,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,2022-04-26
5,5,B,2.4277,19.65, ,6475.0835,10012936.862,31-Mar-2004,J.H. KELLEY and  C.G.SHEU AND J.L. GODWIN and  ET AL.,2022-04-26
5,6,B,2.4060,80.35, ,6927.7323,11009305.166,1-Jan-2011,J.H. KELLEY and  C.G. SHEU,2022-04-26
5,7,B, , ,0.0202,6631.2237,12014352.638,1-Jan-2017,J.H. KELLEY and  J.E. Purcell and C.G. SHEU,2022-04-26
5,8,B, , ,0.01733,6496.4194,13017779.981,23-Apr-1986,F. AJZENBERG-SELOVE and  J.H. KELLEY AND C.D. NESARAJA,2022-04-26
5,9,B, , ,0.0125,6101.6451,14025404.01,1-JUL-1990,F. AJZENBERG-SELOVE,2022-04-26
5,10,B, , ,0.00993,5880.0438,15031087.023,1-Jul-1990,F. AJZENBERG-SELOVE,2022-04-26
5,11,B, , ,4.5623771507138576e-21,5507.3535,16039841.045,16-Jan-2016,J.H. Kelley and  G.C. Sheu,2022-04-26
