dois,Upload Date,Name,Description,Version,Licence,Keywords,Type,Comments,Short Title,Comment,ORCID,Creation Date,References,Title,Request doi,Source
,21.01.2024,Dominik Hezel,xxx,,CC-BY-SA,xxx,Database Dataset,,eastsearid,,0000-0002-5059-2281,,,Easter Seamount Chain Salas Y Gomez Ridge,,Georoc
,21.01.2024,Dominik Hezel,xxx,,CC-BY-SA,xxx,basic,,chondprop,,0000-0002-5059-2281,,,Chondrite Properties,,
,2025-05-16,Dominik C. Hezel,example dataset,,CCO,"chondrules, Fe, isotopes, example data",Example,,chdfeisoexdat,,https://orcid.org/0000-0002-5059-2281,,,chondrule Fe isotope example data,no,
,21.01.2024,Dominik Hezel,xxx,,CC-BY-SA,xxx,basic,,chemelprop,,0000-0002-5059-2281,,,Chemical Element Properties,,
,21.01.2024,Dominik Hezel,xxx,,CC-BY-SA,xxx,Database Dataset,,bastcrat,,0000-0002-5059-2281,,,Bastar Craton,,Georoc
,2024-02-06,Dominik Hezel,Basic data of nuclides,v1.0,CCO,"nuclides, half-lifes, binding-energies",Basic,,nucbasics,,https://orcid.org/0000-0002-5059-2281,2024-02-06,,nuclides-basics,,IAEA - Nuclear Data Section
,21.01.2024,Dominik Hezel,xxx,,CC-BY-SA,xxx,Database Dataset,,ninetyrid,,,,,Ninetyeast Ridge,,Georoc
,2025-03-14,Lara Friedrichs,"In this table the main elements of the sun's photosphere are listed. This table is taken from Lodders, K., & Fegley, B. (1998). The planetary scientist's companion. Oxford University Press.",,CC-BY SA,"elements, sun, photosphere",Basic,,elements photosphere sun,,https://orcid.org/0009-0001-7264-5081,2025-03-14,,test_table_elements,no,"Lodders, K., & Fegley, B. (1998). The planetary scientist's companion. Oxford University Press."
,2025-05-19,Dominik C. Hezel,a brief list of mineral compositions,,CCO,"mineral data, example",Basic,,mineraldatex2,,https://orcid.org/0000-0002-5059-2281,,,Mineral Data Example Dataset 2,no,
,21.01.2024,Dominik Hezel,xxx,,CC-BY-SA,xxx,Database Dataset,,emei,,0000-0002-5059-2281,,,Emeishan,,Georoc
,21.01.2024,Dominik Hezel,xxx,,CC-BY-SA,xxx,Database Dataset,,mcdis,,0000-0002-5059-2281,,,McDonald Islands,,Georoc
,21.01.2024,Dominik Hezel,xxx,,CC-BY-SA,xxx,Database Dataset,,namcord,,0000-0002-5059-2281,,,North American Cordillera - Paleozoic,,Georoc
